Pick'n'place coordinates exported from IEC-Breakout.brd on 21.03.2023 20:26

Value	Name	Footprint	x(inch)	y(inch)	theta	Side
100n	C1	C-2,5	0.463	1.106	180	top
100n	C2	C-2,5	1.087	1.100	180	top
74LS06N	IC1	DIL-14	0.456	1.550	90	top
74LS04N	IC2	DIL-14	1.081	1.544	90	top
010599	J1	010599	0.481	2.700	270	top
	J2	1X09	0.344	0.475	270	top
	J3	1X09	1.144	0.475	270	top
FCR681465P	J4	FCR681465P	1.131	2.800	180	top
COMBI_2P	JP1	COMBI-2P	1.081	2.100	180	top
	JP2	CP_OP	0.075	2.319	90	top
LEVEL-SHIFTER	M1	L-SHIFTER	0.744	0.525	0	top
BSS138	Q1	SOT23	0.738	0.356	270	top
BSS138	Q2	SOT23	0.738	0.550	270	top
BSS138	Q3	SOT23	0.750	0.756	270	top
BSS138	Q4	SOT23	0.731	0.125	270	top
1k	R1	R-10	0.713	1.150	270	top
1k	R2	R-10	0.819	1.150	270	top
10k	R3	R-10	0.206	1.150	270	top
10k	R4	R-10	0.087	1.150	90	top
1k	R5	R-10	0.869	1.988	0	top
10k	R6	0805	0.844	0.356	270	top
10k	R7	0805	0.637	0.356	90	top
10k	R8	0805	0.844	0.544	270	top
10k	R9	0805	0.637	0.550	90	top
10k	R10	0805	0.856	0.744	270	top
10k	R11	0805	0.637	0.750	90	top
10k	R12	0805	0.838	0.119	270	top
10k	R13	0805	0.625	0.119	90	top
L1,2_R	TP1	1,2MM_R	1.350	1.856	0	top
OPEN_SOURCE_HW	U$31	OPENHW	1.456	1.969	0	bot
	U$32	2LAYER	1.444	0.037	90	top
	U$33	SMD_REF_R1MM	0.063	0.063	0	top
	U$34	SMD_REF_R1MM	1.419	0.900	0	top
	U$35	PCB-TITLE/	0.000	3.000	0	top
	U$36	SVEN_TAG	0.762	1.631	0	top
