Pick'n'place coordinates exported from IEC-Breakout.brd on 21.03.2023 20:26

Value	Name	Footprint	x(mm)	y(mm)	theta	Side
100n	C1	C-2,5	11.748	28.099	180	top
100n	C2	C-2,5	27.623	27.940	180	top
74LS06N	IC1	DIL-14	11.589	39.370	90	top
74LS04N	IC2	DIL-14	27.464	39.211	90	top
010599	J1	010599	12.224	68.580	270	top
	J2	1X09	8.731	12.065	270	top
	J3	1X09	29.051	12.065	270	top
FCR681465P	J4	FCR681465P	28.734	71.120	180	top
COMBI_2P	JP1	COMBI-2P	27.464	53.340	180	top
	JP2	CP_OP	1.905	58.896	90	top
LEVEL-SHIFTER	M1	L-SHIFTER	18.891	13.335	0	top
BSS138	Q1	SOT23	18.733	9.049	270	top
BSS138	Q2	SOT23	18.733	13.970	270	top
BSS138	Q3	SOT23	19.050	19.209	270	top
BSS138	Q4	SOT23	18.574	3.175	270	top
1k	R1	R-10	18.098	29.210	270	top
1k	R2	R-10	20.796	29.210	270	top
10k	R3	R-10	5.239	29.210	270	top
10k	R4	R-10	2.223	29.210	90	top
1k	R5	R-10	22.066	50.483	0	top
10k	R6	0805	21.431	9.049	270	top
10k	R7	0805	16.192	9.049	90	top
10k	R8	0805	21.431	13.811	270	top
10k	R9	0805	16.192	13.970	90	top
10k	R10	0805	21.749	18.891	270	top
10k	R11	0805	16.192	19.050	90	top
10k	R12	0805	21.273	3.016	270	top
10k	R13	0805	15.875	3.016	90	top
L1,2_R	TP1	1,2MM_R	34.290	47.149	0	top
OPEN_SOURCE_HW	U$31	OPENHW	36.989	50.006	0	bot
	U$32	2LAYER	36.671	0.953	90	top
	U$33	SMD_REF_R1MM	1.588	1.588	0	top
	U$34	SMD_REF_R1MM	36.036	22.860	0	top
	U$35	PCB-TITLE/	0.000	76.200	0	top
	U$36	SVEN_TAG	19.367	41.434	0	top
